,Timestamp,Are you openly identified at work as a person with a mental health issue?,Are you self-employed?,Did you ever discuss your mental health with a previous coworker(s)?,Did you ever discuss your mental health with your previous employer?,Did you ever have a previous coworker discuss their or another coworker's mental health with you?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health disorders and how to seek help?,Do you currently have a mental health disorder?,Do you have a family history of mental illness?,Do you have previous employers?,Do you know the options for mental health care available under your employer-provided health coverage?,Does your employer offer resources to learn more about mental health disorders and options for seeking help?,Does your employer provide mental health benefits as part of healthcare coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Have you ever discussed your mental health with coworkers?,Have you ever discussed your mental health with your employer?,Have you ever had a coworker discuss their or another coworker's mental health with you?,Have you ever sought treatment for a mental health disorder from a mental health professional?,Have you had a mental health disorder in the past?,Have you observed or experienced a supportive or well handled response to a mental health issue in your current or previous workplace?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health issue made you less likely to reveal a mental health issue yourself in your current workplace?,Have your previous employers provided mental health benefits?,How many employees does your company or organization have?,How willing would you be to share with friends and family that you have a mental illness?,"If a mental health issue prompted you to request a medical leave from work, how easy or difficult would it be to ask for that leave?","If they knew you suffered from a mental health disorder, how do you think that your team members/co-workers would react?","If you have a mental health disorder, how often do you feel that it interferes with your work when NOT being treated effectively (i.e., when you are experiencing symptoms)?","If you have a mental health disorder, how often do you feel that it interferes with your work when being treated effectively?",Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,"Overall, how much importance did your previous employer place on mental health?","Overall, how much importance did your previous employer place on physical health?","Overall, how much importance does your employer place on mental health?","Overall, how much importance does your employer place on physical health?","Overall, how well do you think the tech industry supports employees with mental health issues?",Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Was your employer primarily a tech company/organization?,Were you aware of the options for mental health care provided by your previous employers?,What country do you live in?,What country do you work in?,What is your age?,What is your gender?,What is your race?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up your mental health with a potential employer in an interview?,Would you feel comfortable discussing a mental health issue with your coworkers?,Would you feel comfortable discussing a mental health issue with your direct supervisor(s)?,Would you feel more comfortable talking to your coworkers about your physical health or your mental health?,Would you have been willing to discuss your mental health with your coworkers at previous employers?,Would you have been willing to discuss your mental health with your direct supervisor(s)?,Would you have felt more comfortable talking to your previous employer about your physical health or your mental health?
0,1,0,0,0,0,0,2,1,3,0,1,1,2,0,0,1,0,1,1,3,2,2,0,0,1,5,1,10,4,4,2,1,1,3,3,0,6,1,3,0,2,51,53,27,0,3,1,0,1,1,2,1,3,1
1,1,0,0,1,0,0,1,0,3,0,1,1,0,1,0,1,0,1,0,3,0,3,0,2,1,4,1,6,4,1,2,1,1,2,5,2,7,2,0,1,0,51,53,31,1,3,1,0,1,2,2,0,1,1
2,1,1,0,1,0,0,1,0,1,1,1,0,0,2,2,1,1,0,1,1,2,2,1,2,5,5,0,5,4,4,1,1,1,0,8,1,0,1,0,1,2,52,54,36,1,3,2,0,2,1,2,0,1,1
3,1,0,0,0,0,0,1,1,0,1,1,0,2,1,0,0,0,0,0,0,3,3,2,1,1,5,4,4,1,3,1,1,0,3,7,5,9,2,3,1,0,52,54,30,1,3,2,0,2,2,1,0,2,1
4,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,0,3,1,0,2,5,8,5,5,2,3,1,1,1,10,10,10,10,2,3,1,0,52,54,36,0,2,0,0,0,1,2,0,2,2
5,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,3,1,0,2,0,3,4,7,1,1,2,1,1,5,5,8,10,2,0,1,0,52,54,38,0,3,0,0,2,1,1,0,2,1
8,1,0,0,0,0,0,2,1,1,1,1,0,2,2,0,0,0,0,0,1,1,2,1,2,1,10,0,0,2,4,2,1,1,5,5,3,5,1,2,1,0,52,54,35,1,3,0,0,0,2,1,1,1,1
9,1,0,0,0,0,0,1,0,1,2,1,0,2,2,0,0,0,0,1,2,0,0,2,0,3,3,2,5,2,4,2,1,1,5,7,2,3,3,0,0,2,52,54,22,0,3,2,0,2,2,1,1,1,1
10,1,0,0,0,0,0,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,0,8,5,5,4,4,1,1,0,5,5,5,5,3,3,0,0,52,54,34,0,0,1,0,1,2,2,0,2,2
13,1,0,0,1,1,1,2,0,3,0,1,0,0,2,0,1,0,0,0,3,0,1,0,0,5,8,4,6,4,3,2,1,1,5,7,3,4,3,3,0,0,16,15,21,1,3,1,2,2,2,1,0,2,1
14,1,0,0,0,0,0,1,0,3,1,1,0,0,0,0,0,0,1,0,3,1,1,3,1,5,3,2,5,4,4,2,1,1,1,1,2,2,2,0,1,2,51,53,22,1,3,0,0,0,0,1,0,2,1
